feature,model_vars,default
paydebt_overdue_pay_days_max,model_vars_paydebt,-1
paydebt_overdue_pay_days_max_l184d,model_vars_paydebt,-1
paydebt_overdue_pay_days_max_l31d,model_vars_paydebt,-1
paydebt_overdue_pay_days_max_l62d,model_vars_paydebt,-1
paydebt_overdue_pay_days_max_l92d,model_vars_paydebt,-1
paydebt_overdue_prop,model_vars_paydebt,-1
paydebt_overdue_prop_avg1m_dv_avg2m,model_vars_paydebt,-1
paydebt_overdue_prop_avg1m_dv_avg3m,model_vars_paydebt,-1
paydebt_overdue_prop_avg1m_dv_avg6m,model_vars_paydebt,-1
paydebt_overdue_prop_avg2m_dv_avg6m,model_vars_paydebt,-1
paydebt_overdue_prop_avg3m_dv_avg12m,model_vars_paydebt,-1
paydebt_overdue_prop_avg3m_dv_avg6m,model_vars_paydebt,-1
paydebt_overdue_prop_avg3m_dv_avg9m,model_vars_paydebt,-1
paydebt_overdue_prop_avg6m_dv_avg12m,model_vars_paydebt,-1
paydebt_overdue_prop_l184d,model_vars_paydebt,-1
paydebt_overdue_prop_l31d,model_vars_paydebt,-1
paydebt_overdue_prop_l62d,model_vars_paydebt,-1
paydebt_overdue_prop_l92d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_avg,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_avg_l184d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_avg_l31d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_avg_l62d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_avg_l92d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_init_avg,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_init_avg_l184d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_init_avg_l31d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_init_avg_l62d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_init_avg_l92d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_init_max,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_init_max_l184d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_init_max_l31d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_init_max_l62d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_init_max_l92d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_init_min,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_init_min_l184d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_init_min_l31d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_init_min_l62d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_init_min_l92d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_max,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_max_l184d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_max_l31d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_max_l62d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_max_l92d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_min,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_min_l184d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_min_l31d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_min_l62d,model_vars_paydebt,-1
paydebt_pay_bid_days_prop_min_l92d,model_vars_paydebt,-1
paydebt_pre_cnt,model_vars_paydebt,-1
paydebt_pre_cnt_avg1m_dv_avg2m,model_vars_paydebt,-1
paydebt_pre_cnt_avg1m_dv_avg3m,model_vars_paydebt,-1
paydebt_pre_cnt_avg1m_dv_avg6m,model_vars_paydebt,-1
paydebt_pre_cnt_avg2m_dv_avg6m,model_vars_paydebt,-1
paydebt_pre_cnt_avg3m_dv_avg12m,model_vars_paydebt,-1
paydebt_pre_cnt_avg3m_dv_avg6m,model_vars_paydebt,-1
paydebt_pre_cnt_avg3m_dv_avg9m,model_vars_paydebt,-1
paydebt_pre_cnt_avg6m_dv_avg12m,model_vars_paydebt,-1
paydebt_pre_cnt_l184d,model_vars_paydebt,-1
paydebt_pre_cnt_l31d,model_vars_paydebt,-1
paydebt_pre_cnt_l62d,model_vars_paydebt,-1
paydebt_pre_cnt_l92d,model_vars_paydebt,-1
paydebt_pre_prop,model_vars_paydebt,-1
paydebt_pre_prop_avg1m_dv_avg2m,model_vars_paydebt,-1
paydebt_pre_prop_avg1m_dv_avg3m,model_vars_paydebt,-1
paydebt_pre_prop_avg1m_dv_avg6m,model_vars_paydebt,-1
paydebt_pre_prop_avg2m_dv_avg6m,model_vars_paydebt,-1
paydebt_pre_prop_avg3m_dv_avg12m,model_vars_paydebt,-1
paydebt_pre_prop_avg3m_dv_avg6m,model_vars_paydebt,-1
paydebt_pre_prop_avg3m_dv_avg9m,model_vars_paydebt,-1
paydebt_pre_prop_avg6m_dv_avg12m,model_vars_paydebt,-1
paydebt_pre_prop_l184d,model_vars_paydebt,-1
paydebt_pre_prop_l31d,model_vars_paydebt,-1
paydebt_pre_prop_l62d,model_vars_paydebt,-1
paydebt_pre_prop_l92d,model_vars_paydebt,-1
requested_loan_amount,model_vars_basic,-1
smpl_month,model_vars_basic,-1
tailno,model_vars_basic,-1
