feature,model_vars,defalut,default
bank_txn_category_education_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_telecommunications_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_health_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_department_stores_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_pet_care_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_home_improvement_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_gyms_and_other_memberships_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_overdrawn_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_information_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_debt_collection_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_utilities_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_entertainment_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_transport_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_donations_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_rent_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_fees_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_debt_consolidation_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_gambling_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_insurance_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_centrelink_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_dishonours_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_credit_card_repayments_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_personal_care_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_wages_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_all_other_credits_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_external_transfers_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_internal_transfer_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_health_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_automotive_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_pet_care_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_home_improvement_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_sacc_loans_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_department_stores_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_gyms_and_other_memberships_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_overdrawn_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_information_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_retail_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_debt_collection_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_utilities_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_subscription_tv_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_entertainment_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_transport_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_donations_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_rent_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_non_sacc_loans_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_fees_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_debt_consolidation_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_gambling_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_insurance_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_travel_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_centrelink_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_dishonours_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_credit_card_repayments_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_groceries_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_personal_care_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_wages_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_telecommunications_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_dining_out_credit_amt_7d,model_vars_category,-1000000,-999999.99999
